,Classifier,Best Parameters
0,Decision Tree,"{'criterion': 'entropy', 'max_depth': None, 'splitter': 'best'}"
1,Random Forest,"{'criterion': 'gini', 'max_depth': None, 'n_estimators': 200}"
2,Logistic Regression,"{'C': 1, 'max_iter': 1500, 'penalty': 'l1', 'solver': 'liblinear'}"
3,Nearest Neighbors,"{'algorithm': 'auto', 'n_neighbors': 7, 'weights': 'distance'}"
4,Naive Bayes,{}
5,GradientBoost,"{'learning_rate': 0.75, 'max_depth': 9, 'n_estimators': 200}"
6,XGB,"{'learning_rate': 1, 'max_depth': 9, 'n_estimators': 200}"
7,LGBM,"{'learning_rate': 0.75, 'max_depth': 9, 'n_estimators': 200}"
8,SVC,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}"
9,AdaBoost,"{'algorithm': 'SAMME.R', 'learning_rate': 1, 'n_estimators': 150}"
