iter	Passed	Remaining
0	211	52658
1	268	33305
2	326	26850
3	381	23463
4	443	21724
5	508	20676
6	565	19620
7	646	19552
8	720	19280
9	784	18818
10	846	18389
11	908	18028
12	1114	20321
13	1222	20609
14	1293	20262
15	1360	19904
16	1421	19488
17	1486	19154
18	1555	18907
19	1610	18518
20	1666	18176
21	1721	17836
22	1774	17516
23	1836	17295
24	1897	17075
25	1961	16896
26	2020	16689
27	2084	16524
28	2145	16353
29	2203	16161
30	2253	15919
31	2309	15736
32	2363	15540
33	2417	15359
34	2472	15190
35	2530	15041
36	2580	14857
37	2633	14689
38	2695	14585
39	2783	14612
40	2850	14532
41	2922	14475
42	3007	14478
43	3097	14499
44	3176	14471
45	3277	14535
46	3354	14489
47	3408	14343
48	3469	14233
49	3543	14172
50	3602	14056
51	3670	13974
52	3740	13903
53	3801	13798
54	3862	13694
55	3937	13639
56	4025	13631
57	4108	13602
58	4178	13527
59	4245	13443
60	4300	13324
61	4351	13195
62	4402	13067
63	4453	12941
64	4503	12818
65	4557	12705
66	4618	12614
67	4681	12529
68	4750	12462
69	4821	12398
70	4880	12304
71	4945	12226
72	5009	12147
73	5077	12076
74	5147	12010
75	5210	11930
76	5278	11859
77	5350	11799
78	5420	11733
79	5484	11653
80	5544	11568
81	5616	11507
82	5680	11428
83	5747	11358
84	5811	11281
85	5870	11194
86	5939	11128
87	5998	11041
88	6056	10955
89	6122	10884
90	6182	10802
91	6274	10775
92	6333	10692
93	6394	10611
94	6447	10520
95	6512	10447
96	6565	10356
97	6629	10282
98	6692	10207
99	6758	10138
100	6864	10126
101	6937	10066
102	7000	9990
103	7062	9915
104	7125	9840
105	7181	9756
106	7249	9687
107	7307	9607
108	7366	9529
109	7424	9449
110	7486	9374
111	7551	9304
112	7616	9233
113	7675	9156
114	7743	9090
115	7802	9013
116	7867	8943
117	7926	8866
118	7982	8787
119	8038	8708
120	8097	8632
121	8152	8553
122	8208	8475
123	8266	8399
124	8319	8319
125	8372	8239
126	8432	8167
127	8502	8104
128	8695	8156
129	8779	8104
130	8881	8067
131	8945	7996
132	8998	7916
133	9051	7835
134	9104	7755
135	9158	7677
136	9216	7601
137	9280	7531
138	9340	7459
139	9392	7379
140	9440	7297
141	9485	7214
142	9536	7135
143	9585	7056
144	9635	6977
145	9683	6898
146	9730	6817
147	9775	6737
148	9818	6655
149	9864	6576
150	9910	6497
151	9957	6419
152	10001	6341
153	10049	6264
154	10098	6189
155	10144	6112
156	10188	6035
157	10238	5961
158	10290	5889
159	10339	5815
160	10390	5743
161	10440	5671
162	10488	5598
163	10535	5524
164	10590	5455
165	10641	5384
166	10691	5313
167	10739	5242
168	10792	5172
169	10841	5102
170	10888	5030
171	10932	4957
172	10976	4885
173	11018	4812
174	11064	4741
175	11106	4669
176	11147	4597
177	11187	4525
178	11223	4451
179	11265	4380
180	11311	4312
181	11350	4240
182	11402	4174
183	11455	4109
184	11509	4043
185	11562	3978
186	11607	3910
187	11667	3847
188	11716	3781
189	11766	3715
190	11819	3651
191	11870	3586
192	11925	3522
193	11974	3456
194	12026	3391
195	12079	3327
196	12131	3263
197	12176	3197
198	12226	3133
199	12282	3070
200	12339	3008
201	12388	2943
202	12437	2879
203	12490	2816
204	12534	2751
205	12578	2686
206	12627	2623
207	12673	2559
208	12720	2495
209	12764	2431
210	12812	2368
211	12853	2303
212	12893	2239
213	12939	2176
214	12981	2113
215	13019	2049
216	13057	1985
217	13094	1922
218	13128	1858
219	13169	1795
220	13212	1733
221	13253	1671
222	13296	1609
223	13344	1548
224	13400	1488
225	13446	1427
226	13485	1366
227	13528	1305
228	13566	1244
229	13609	1183
230	13657	1123
231	13701	1063
232	13738	1002
233	13776	941
234	13811	881
235	13845	821
236	13880	761
237	13918	701
238	13965	642
239	14008	583
240	14057	524
241	14106	466
242	14147	407
243	14181	348
244	14219	290
245	14254	231
246	14298	173
247	14344	115
248	14388	57
249	14436	0
