,Classifier,Accuracy,Precision,Recall,F1-Score
0,Decision Tree,0.7249076083768405,0.5808416504119156,0.6236640814830736,0.5853805187679874
1,Random Forest,0.734924033554291,0.5939308107995259,0.6438602417212478,0.6008354005549235
2,Logistic Regression,0.7024843080893999,0.6227000921566961,0.7238179829914004,0.6161873765002701
3,Nearest Neighbors,0.691235994603156,0.5916728073742495,0.6612056191476354,0.5860060622596317
4,Naive Bayes,0.6239220977298058,0.6070798996346732,0.7079548833361419,0.5630654876329617
5,GradientBoost,0.7299231536340706,0.5919501468760076,0.6429447492329041,0.5978399118151383
6,XGB,0.7278113451047105,0.5927108211400446,0.6457621140056552,0.5981797308247103
7,LGBM,0.698891300522086,0.6117572350525664,0.7012342299731171,0.6059493195951076
8,SVC,0.6864110987270488,0.619535246964446,0.7227900994445411,0.6059459406832113
9,AdaBoost,0.7007244676482666,0.6230562031342328,0.7253295890525759,0.6156208543889043
